Time,Name,IP,Status,Latency_ms
2025-11-10 12:00:02,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:00:04,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:00:12,Shakti_2.4GHz,192.168.1.1,UP,2.0
2025-11-10 12:00:14,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:00:16,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:00:18,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:00:20,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:00:22,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:00:24,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:00:26,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:00:28,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:00:30,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:00:38,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 12:00:40,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:00:42,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:00:44,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:00:46,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:00:48,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:00:50,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:00:52,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:00:54,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:00:56,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:01:06,Shakti_2.4GHz,192.168.1.1,UP,2.0
2025-11-10 12:01:07,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:01:09,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:01:11,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
